DateTime,Entries,UniqueIPs
1592460206,2784,2784
1592462072,2777,2777
1592463299,2803,2803
1592464470,2809,2809
1592465764,2807,2807
1592467031,2825,2825
1592468732,2843,2843
1592470021,2847,2847
1592472259,2836,2836
1592473451,2816,2816
1592474816,2813,2813
1592476472,2794,2794
1592478751,2748,2748
1592480077,2723,2723
1592482055,2691,2691
1592483600,2645,2645
1592484724,2634,2634
1592486734,2600,2600
1592488235,2551,2551
1592491787,2437,2437
1592492978,2402,2402
1592494467,2321,2321
1592496513,2279,2279
1592498066,2328,2328
1592501667,2325,2325
1592503252,2320,2320
1592504725,2335,2335
1592508332,2359,2359
1592508868,2361,2361
1592510460,2359,2359
1592511933,2387,2387
1592552080,2549,2549
1592553381,2552,2552
1592555112,2547,2547
1592556237,2533,2533
1592558734,2528,2528
1592560234,2474,2474
1592561346,2433,2433
1592562486,2441,2441
1592563833,2362,2362
1592565340,2342,2342
1592569526,2284,2284
1592573127,2235,2235
1592573666,2220,2220
1592577271,2208,2208
1592579627,2220,2220
1592583924,2239,2239
1592584467,2232,2232
1592585677,2236,2236
1592587525,2250,2250
1592588065,2244,2244
1592589948,2260,2260
1592591667,2257,2257
1592595266,2270,2270
1592596661,2277,2277
1592598331,2281,2281
1592598874,2269,2269
1592600416,2252,2252
1592601925,2266,2266
1592602467,2251,2251
1592603727,2252,2252
1592604973,2250,2250
1592607030,2260,2260
1592608284,2261,2261
1592610630,2268,2268
1592612459,2325,2325
1592613270,2336,2336
1592616057,2451,2451
1592616862,2468,2468
1592617985,2531,2531
1592619930,2605,2605
1592620466,2587,2587
1592624069,2586,2586
1592627672,2564,2564
1592631268,2534,2534
1592632472,2530,2530
1592634326,2514,2514
1592634867,2486,2486
1592637608,2462,2462
1592638921,2447,2447
1592641124,2421,2421
1592642064,2400,2400
1592643887,2384,2384
1592645663,2379,2379
1592649263,2359,2359
1592650885,2369,2369
1592652868,2371,2371
1592654541,2366,2366
1592656467,2394,2394
1592658388,2400,2400
1592659527,2414,2414
1592661026,2413,2413
1592662886,2408,2408
1592663669,2395,2395
1592665386,2419,2419
1592667266,2417,2417
1592670866,2440,2440
1592673925,2387,2387
1592675429,2347,2347
1592677522,2375,2375
1592678065,2358,2358
1592679191,2359,2359
1592680450,2368,2368
1592682746,2352,2352
1592684726,2353,2353
1592685263,2339,2339
1592688865,2337,2337
1592691931,2408,2408
1592693422,2409,2409
1592696071,2427,2427
1592697250,2447,2447
1592698726,2454,2454
1592699669,2447,2447
1592701919,2465,2465
1592703263,2444,2444
1592705070,2432,2432
1592706867,2401,2401
1592708107,2396,2396
1592712141,2293,2293
1592713530,2309,2309
1592714674,2234,2234
1592717664,2232,2232
1592718974,2240,2240
1592720737,2254,2254
1592721262,2244,2244
1592724864,2258,2258
1592726130,2261,2261
1592727278,2262,2262
1592729817,2280,2280
1592731008,2279,2279
1592732065,2274,2274
1592733877,2274,2274
